GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
200808050018,2008-08-05,"Mexico","Ciudad Juarez","Unknown",0,,,,,1,0,Police,,,North America,Armed Assault,,,Firearms,,,
200808050016,2008-08-05,"Mexico","Ciudad Juan Aldama","Unknown",0,,,,,2,0,Police,,,North America,Unknown,,,Unknown,,,
200808020036,2008-08-02,"United States","Santa Cruz","Animal Liberation Front (ALF)",0,,,,,0,1,Educational Institution,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200808020023,2008-08-02,"United States","Santa Cruz","Animal Liberation Front (ALF)",0,,,,,0,1,Educational Institution,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200807270001,2008-07-27,"United States","Knoxville","Anti-Liberal extremists",0,,,,,2,7,Religious Figures/Institutions,,,North America,Armed Assault,,,Firearms,,,
200807250030,2008-07-25,"United States","La Jolla","Unknown",0,,,,,0,1,Tourists,,,North America,Armed Assault,,,Melee,,,
200807140010,2008-07-14,"Mexico","Saltillo","Juarez Cartel (Carrillo-Fuentes / Mexico)",0,,,,,0,0,Police,,,North America,Hostage Taking (Kidnapping),,,Firearms,,,
200806140008,2008-06-14,"United States","Deming","Unknown",0,,,,,0,0,Police,,,North America,Unarmed Assault,,,Other,,,
200805260017,2008-05-26,"United States","Medford","White extremists",0,,,,,0,0,Private Citizens & Property,,,North America,Facility/Infrastructure Attack,,,Incendiary,Explosives/Bombs/Dynamite,,
200805220002,2008-05-22,"Canada","Edmonton","Unknown",0,,,,,0,8,Business,Business,,North America,Armed Assault,Facility/Infrastructure Attack,,Melee,Melee,Melee,
200804250010,2008-04-25,"United States","San Diego","Unknown",0,,,,,0,0,Business,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200804220011,2008-04-22,"United States","Miami Beach","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200804070006,2008-04-07,"United States","Kansas City","Unknown",0,,,,,0,0,Transportation,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200804070005,2008-04-07,"United States","Kansas City","Unknown",0,,,,,0,0,Utilities,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200803060004,2008-03-06,"United States","New York City","Unknown",0,,,,,0,0,Military,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200803020012,2008-03-03,"United States","Woodinville","Earth Liberation Front (ELF)",0,,,,,0,0,Business,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200802170011,2008-02-17,"United States","Eureka","Unknown",0,,,,,0,0,Abortion Related,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200802170007,2008-02-17,"United States","Eureka","Anti-Abortion extremists",0,,,,,0,0,Abortion Related,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200802150009,2008-02-15,"Mexico","Mexico City","Unknown",0,,,,,2,2,Government (General),Private Citizens & Property,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200802150002,2008-02-15,"Mexico","Mexico City","Unknown",0,,,,,1,1,Police,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200802090004,2008-02-09,"United States","Columbia","Neo-Nazi extremists",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200802050002,2008-02-05,"United States","Los Angeles","Animal Liberation Front (ALF)",1,,,,,0,0,Educational Institution,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200801190007,2008-01-19,"Mexico","Tijuana","Unknown",0,,,,,7,Unknown,Unknown,,,North America,Hostage Taking (Kidnapping),Armed Assault,,Firearms,,,
200712060011,2007-12-06,"United States","Albuquerque","Anti-Abortion extremists",0,,,,,0,0,Abortion Related,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200710260003,2007-10-26,"United States","New York City","Unknown",0,,,,,0,0,Government (Diplomatic),,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200710200003,2007-10-20,"United States","Los Angeles","Animal Liberation Front (ALF)",0,,,,,0,0,Educational Institution,,,North America,Facility/Infrastructure Attack,,,Sabotage Equipment,,,
200709100002,2007-09-10,"Mexico","Veracruz (State) and Tlaxcala (State)","Popular Revolutionary Army (Mexico)",0,,,,,0,0,Utilities,,,North America,Facility/Infrastructure Attack,,,Sabotage Equipment,Explosives/Bombs/Dynamite,,
200708270034,2007-08-27,"Mexico","Aguascalientes","Unknown",0,,,,,4,2,Police,,,North America,Armed Assault,,,Firearms,,,
200707140003,2007-07-14,"Mexico","Guadalupe","Unknown",0,,,,,1,3,Police,,,North America,Assassination,,,Firearms,,,
200707100001,2007-07-10,"Mexico","Unknown","Popular Revolutionary Army (Mexico)",0,,,,,0,0,Utilities,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200706240004,2007-06-24,"United States","Los Angeles","Revolutionary Cells-Animal Liberation Brigade",0,,,,,0,0,Educational Institution,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200705090002,2007-05-09,"United States","Virginia Beach","Anti-Abortion extremists",0,,,,,0,0,Abortion Related,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
